"report_date","amount","is_workday","day_of_the_week"
"20170322","128889919","1","2"
"20170324","123863161","1","4"
"20170326","104586428","0","6"
"20170331","130570437","1","4"
"20170402","156932119","0","6"
"20170405","110619431","1","2"
"20170410","149941819","1","0"
"20170413","197015866","1","3"
"20170414","200685643","1","4"
"20170420","206640879","1","3"
"20170426","234805022","1","2"
"20170428","212761203","1","4"
"20170502","129418849","1","1"
"20170503","154948180","1","2"
"20170510","165925020","1","2"
"20170511","201571042","1","3"
"20170513","225079640","0","5"
"20170514","192727442","0","6"
"20170516","228214221","1","1"
"20170519","197580325","1","4"
"20170521","168858712","0","6"
"20170523","224882551","1","1"
"20170601","187581661","1","3"
"20170607","236537588","1","2"
"20170610","259110307","0","5"
"20170614","267240606","1","2"
"20170616","268415604","1","4"
"20170618","216769930","0","6"
"20170620","240083344","1","1"
"20170626","208909446","1","0"
"20170627","219335398","1","1"
"20170629","312517854","1","3"
"20170630","315637415","1","4"
"20170701","380098495","0","5"
"20170706","255158272","1","3"
"20170709","239737828","0","6"
"20170718","313237722","1","1"
"20170721","308986822","1","4"
"20170722","313158896","0","5"
"20170723","290711777","0","6"
"20170804","339233075","1","4"
"20170806","303953947","0","6"
"20170810","405895094","1","3"
"20170811","427885143","1","4"
"20170812","464820615","0","5"
"20170813","448942773","0","6"
"20170814","486898414","1","0"
"20170818","783499187","1","4"
"20170819","815087648","0","5"
"20170822","914200508","1","1"
"20170825","663631991","1","4"
"20170827","341946194","0","6"
"20170828","303898970","1","0"
"20170829","339074214","1","1"
"20170830","376284819","1","2"
"20170831","403341523","1","3"
"20170902","486446079","0","5"
"20170903","474867014","0","6"
"20170907","544992353","1","3"
"20170908","531664485","1","4"
"20170916","544136336","0","5"
"20170917","484195334","0","6"
"20170921","604725139","1","3"
"20170922","618390757","1","4"
"20170924","638385391","0","6"
"20170926","548414616","1","1"
"20171002","426700443","0","0"
"20171008","494311389","0","6"
"20171012","523224173","1","3"
"20171014","739296677","0","5"
"20171017","599807341","1","1"
"20171018","611353631","1","2"
"20171019","573377203","1","3"
"20171021","583759964","0","5"
"20171022","492159856","0","6"
"20171023","444389689","1","0"
"20171024","496125569","1","1"
"20171027","506798319","1","4"
"20171031","526701096","1","1"
"20171103","672293862","1","4"
"20171105","553291135","0","6"
"20171109","489036474","1","3"
"20171110","530694991","1","4"
"20171113","389835477","1","0"
"20171117","572634274","1","4"
"20171120","458694385","1","0"
"20171121","469162050","1","1"
"20171122","531722069","1","2"
"20171123","557142265","1","3"
"20171129","531614931","1","2"
"20171203","624876296","0","6"
"20171209","548019890","0","5"
"20171213","567793373","1","2"
"20171215","698388514","1","4"
"20171216","755155801","0","5"
"20171217","704957425","0","6"
"20171218","667151610","1","0"
"20171222","463918340","1","4"
"20171225","389280242","1","0"
"20171228","385310826","1","3"
"20180103","490442410","1","2"
"20180104","552297718","1","3"
"20180109","599670852","1","1"
"20180112","620368477","1","4"
"20180114","548690339","0","6"
"20180119","725940144","1","4"
"20180120","762445851","0","5"
"20180125","742366253","1","3"
"20180126","855862993","1","4"
"20180127","827715804","0","5"
"20180128","737419023","0","6"
"20180129","681227317","1","0"
"20180130","729903735","1","1"
"20180131","790825917","1","2"
"20180204","1052241511","0","6"
"20180207","726669056","1","2"
"20180208","595624349","1","3"
"20180214","317917823","1","2"
"20180215","271136334","0","3"
"20180218","592744233","0","6"
"20180224","706530103","1","5"
"20180226","765162806","1","0"
"20180301","1184939033","1","3"
"20180308","1209876576","1","3"
"20180316","888968902","1","4"
"20180319","686131146","1","0"
"20180320","690412549","1","1"
"20180328","787301825","1","2"
"20180330","827636555","1","4"
"20180404","844185471","1","2"
"20180407","815310932","0","5"
"20180409","782316956","1","0"
"20180411","925595636","1","2"
"20180416","846991371","1","0"
"20180419","927091818","1","3"
"20180420","910842184","1","4"
"20180421","898016745","0","5"
"20180422","811251893","0","6"
"20180423","772594900","1","0"
"20180424","800876774","1","1"
"20180426","787924904","1","3"
"20180503","577550998","1","3"
"20180505","809802021","0","5"
"20180506","927532049","0","6"
"20180507","917909389","1","0"
"20180509","817753960","1","2"
"20180510","793956120","1","3"
"20180516","805421678","1","2"
"20180517","671847254","1","3"
"20180519","656685711","0","5"
"20180522","667062389","1","1"
"20180524","686869326","1","3"
"20180525","697749334","1","4"
